WordLength,NumGames,avgWordsFound,AvgTime
3,5,1,3.2936e-05
3,10,1.4,3.90945e-05
3,20,1.05,3.15952e-05
4,5,4.2,0.00024295
4,10,3.3,0.000211704
4,20,2.35,0.000252423
5,5,10.2,0.000933517
5,10,10.2,0.00068787
5,20,11.25,0.000738709
6,5,30,0.00417149
6,10,44.4,0.00396318
6,20,32.75,0.00437998
7,5,179.4,0.0212874
7,10,240.2,0.0337156
7,20,258.05,0.0324872
8,5,1385.8,0.221563
8,10,1249.9,0.245006
8,20,1591.2,0.382702
9,5,9825,1.71757
9,10,14048,2.52201
9,20,12497.9,2.21036
10,5,30896.2,6.84328
10,10,80136.7,23.8573
10,20,73751.2,19.4923
